"projekt";"enr";"hasSekObj";"vabstVst";"vabstBst";"vtkNummer";"vnkLfd";"vzusatz";"ntkNummer";"nnkLfd";"nzusatz";"vst";"bst";"labstbaVst";"llageVst";"rlageBst";"labstbaBst";"llageBst";"rabstbaVst";"rabstbaBst";"rlageVst";"abstFbrand";"gattung";"baumart";"hoehe";"krone";"stammdurchm";"pflanzjahr";"faellung";"kherk";"baujahrGew";"abnahmeGew";"dauerGew";"ablaufGew";"kreuzungzuord";"unterhaltaa";"unterhaltstat";"abschnittId";"objektId";"objektnr";"erfart";"quelle";"ADatum";"bemerkung";"detailgrad";"bearbeiter";"behoerde";"stand";"gisreferenz";"abschnittOderAst";"geometry"
"0";;"0";"-1.1";"-1.1";"2327";"10550";"O";"2327";"10553";"O";"98";"98";;;;;;"-1.1";;"95";;"AR2";"SC09~AR2";;"3";"0.16";"1989-01-01T00:00:00";;"02";;;;;;;;"B7BA3E1DC5FE4B589C49B88CD3F57D3E";"0ddb0e2bb1e24b35b01e9fb99aa22609";"500141967";"20";"74";"2018-01-01";"Import aus Strassenbaumkataster";"01";"WFS";"0200";"2018-12-17T11:33:33";;;
"0";;"0";"-6.6";"-6.6";"2326";"11835";"O";"2326";"11836";"O";"16";"16";;;;;;"-6.6";;"95";;"AR1";"JAP0~AR1";;"3";"0.1";"2000-01-01T00:00:00";;"02";;;;;;;;"9B4942155A8D4E5997D1906374F9AC0D";"4436f77ab85b41fea81a59671505a81a";"500148165";"20";"74";"2018-01-01";"Import aus Strassenbaumkataster";"01";"WFS";"0200";"2018-12-17T11:48:53";;;
"0";;"0";"-1.1";"-1.1";"2327";"10550";"O";"2327";"10553";"O";"98";"98";;;;;;"-1.1";;"95";;"AR2";"SC09~AR2";;"3";"0.16";"1989-01-01T00:00:00";;"02";;;;;;;;"B7BA3E1DC5FE4B589C49B88CD3F57D3E";"0ddb0e2bb1e24b35b01e9fb99aa22609";"500141967";"20";"74";"2018-01-01";"Import aus Strassenbaumkataster";"01";"WFS";"0200";"2018-12-17T11:33:33";;;
"0";;"0";"-6.6";"-6.6";"2326";"11835";"O";"2326";"11836";"O";"16";"16";;;;;;"-6.6";;"95";;"AR1";"JAP0~AR1";;"3";"0.1";"2000-01-01T00:00:00";;"02";;;;;;;;"9B4942155A8D4E5997D1906374F9AC0D";"4436f77ab85b41fea81a59671505a81a";"500148165";"20";"74";"2018-01-01";"Import aus Strassenbaumkataster";"01";"WFS";"0200";"2018-12-17T11:48:53";;;
